videoid,contentUrl,duration,page_dir,name
1023956678,https://ak.picdn.net/shutterstock/videos/1023956678/preview/stock-footage-nice-france-june-time-lapse-aerial-view-of-luxury-yacht-docked-in-nice-port-cote-d-azur.mp4,PT00H00M15S,043101_043150,"Nice, france - june 23, 2011 time lapse aerial view of luxury yacht docked in nice port cote d'azur landmark"
1028805368,https://ak.picdn.net/shutterstock/videos/1028805368/preview/stock-footage-two-small-red-beetles-firebug-pull-each-other-top-view.mp4,PT00H00M12S,123001_123050,Two small red beetles firebug pull each other top view.
1051729318,https://ak.picdn.net/shutterstock/videos/1051729318/preview/stock-footage-mount-saint-helens-washington-the-stunning-scenery-of-a-rocky-mountains-during-golden-hours.mp4,PT00H00M09S,095551_095600,"Mount saint helens, washington - the stunning scenery of a rocky mountains during golden hours - wide shot"
1018923682,https://ak.picdn.net/shutterstock/videos/1018923682/preview/stock-footage-blurred-city-street-view-city-traffic-light.mp4,PT00H00M11S,028901_028950,Blurred city street view. city traffic light
1052565473,https://ak.picdn.net/shutterstock/videos/1052565473/preview/stock-footage-group-of-people-cycling-on-a-trail-next-to-a-river.mp4,PT00H00M37S,014501_014550,Group of people cycling on a trail next to a river. 
1008747824,https://ak.picdn.net/shutterstock/videos/1008747824/preview/stock-footage-salvan-village-from-the-air-aerial-k.mp4,PT00H00M28S,108951_109000,Salvan village from the air - aerial 4k
1040274026,https://ak.picdn.net/shutterstock/videos/1040274026/preview/stock-footage-aerial-view-of-a-high-peak-in-indian-himalayas-with-the-sun-behind-some-clouds-over-the-mountain-in.mp4,PT00H00M08S,024201_024250,Aerial view of a high peak in indian himalayas with the sun behind some clouds over the mountain in the winter with snow.
17643496,https://ak.picdn.net/shutterstock/videos/17643496/preview/stock-footage-tomato-sauce-boiling.mp4,PT00H00M12S,135851_135900,Tomato sauce boiling
33874699,https://ak.picdn.net/shutterstock/videos/33874699/preview/stock-footage-patuxai-victory-gate-or-gate-of-triumph-is-a-war-monument-in-vientiane-capital-laos-which-was.mp4,PT00H00M19S,067951_068000,"Patuxai (victory gate or gate of triumph) is a war monument in vientiane capital, laos, which was built between 1957 and 1968. it is variously transliterated as patuxai, patuxay, patousai and patusai"
12104420,https://ak.picdn.net/shutterstock/videos/12104420/preview/stock-footage-ebru-art-to-perform-and-give-lessons-to-students.mp4,PT00H00M11S,009551_009600,Ebru art to perform and give lessons to students
1024408280,https://ak.picdn.net/shutterstock/videos/1024408280/preview/stock-footage-airplane-landing-chepstow.mp4,PT00H00M08S,042501_042550,Airplane landing chepstow
17468389,https://ak.picdn.net/shutterstock/videos/17468389/preview/stock-footage-panning-seascape-footage.mp4,PT00H00M11S,187351_187400,Panning seascape footage. 
4406207,https://ak.picdn.net/shutterstock/videos/4406207/preview/stock-footage-coconut-palm-in-the-wind.mp4,PT00H00M20S,009301_009350,Coconut palm in the wind
1013982629,https://ak.picdn.net/shutterstock/videos/1013982629/preview/stock-footage-a-family-playing-frisbee-golf-with-one-of-the-sons-playing-with-a-disc-in-the-basket-shot-on-a.mp4,PT00H00M16S,083851_083900,A family playing frisbee golf with one of the sons playing with a disc in the basket. shot on a blackmagic ursa mini pro 4.6k with a sigma 50-100mm f/1.8.
34482013,https://ak.picdn.net/shutterstock/videos/34482013/preview/stock-footage-side-pan-of-the-rocky-mountains-at-dusk.mp4,PT00H00M11S,076101_076150,Side pan of the rocky mountains at dusk
29680303,https://ak.picdn.net/shutterstock/videos/29680303/preview/stock-footage-rice-terrace-field-ubud-bali-indonesia.mp4,PT00H00M08S,111651_111700,"Rice terrace field, ubud, bali, indonesia."
1027734908,https://ak.picdn.net/shutterstock/videos/1027734908/preview/stock-footage-aerial-drone-video-of-a-forest-surrounding-farm-during-fall-fall-colors-and-trees-swaying-in-the.mp4,PT00H00M34S,136101_136150,Aerial drone video of a forest surrounding farm during fall. fall colors and trees swaying in the wind.
1048045609,https://ak.picdn.net/shutterstock/videos/1048045609/preview/stock-footage-close-up-footage-a-process-of-grinding-grain-on-an-old-millstone-of-medieval-hand-driven-millstone.mp4,PT00H00M10S,177101_177150,Close-up footage a process of grinding grain on an old millstone of medieval hand-driven millstone grinding wheat. the ancient quern stone hand mill with grain. a miller grinds the grain into flour
1021208680,https://ak.picdn.net/shutterstock/videos/1021208680/preview/stock-footage-circa-s-natural-gas-is-used-as-power-in-california-pipelines-are-laid-down-gas-fuels.mp4,PT00H01M04S,134551_134600,Circa 1950s - natural gas is used as power in california; pipelines are laid down; gas fuels furnaces in the 1950s - .
1038686987,https://ak.picdn.net/shutterstock/videos/1038686987/preview/stock-footage-astronaut-walking-on-an-mars-planet.mp4,PT00H00M10S,011101_011150,Astronaut walking on an mars planet
29269396,https://ak.picdn.net/shutterstock/videos/29269396/preview/stock-footage-train-departs-from-station-little-curious-boy-looking-out-of-window-in-train-drops-of-rain-on.mp4,PT00H00M15S,000151_000200,"Train departs from station. little curious boy looking out of window in train. drops of rain on glass. it's raining outside, people reflecting in glass. "
22430842,https://ak.picdn.net/shutterstock/videos/22430842/preview/stock-footage-frosty-spruce-trees-in-snow-isolated-on-white.mp4,PT00H00M20S,141851_141900,Frosty spruce trees in snow isolated on white
1058564860,https://ak.picdn.net/shutterstock/videos/1058564860/preview/stock-footage-zooming-out-aerial-shot-of-drought-deep-cracked-earth-surface-lit-by-the-sun-environmental.mp4,PT00H00M09S,064701_064750,"Zooming out aerial shot of drought deep cracked earth surface lit by the sun, environmental disaster, shot directly from above"
1019176354,https://ak.picdn.net/shutterstock/videos/1019176354/preview/stock-footage-smart-factory-solar-panel-wind-generator-hydroelectricity-connect-internet-of-things-green.mp4,PT00H00M10S,138301_138350,"Smart factory, solar panel, wind generator, hydroelectricity connect 'internet of things'  green energy technology, 4k animation."
1013766260,https://ak.picdn.net/shutterstock/videos/1013766260/preview/stock-footage-group-of-hardware-closeup-concept-of-work-in-the-light.mp4,PT00H00M12S,192451_192500,"Group of hardware closeup concept of work in the light
"
